"rank","city","state_id","census_2020","census_2010","change","state_name","latitude","longitude","costofliving","localpurchasingpower","groceries","rent","restaurant","f500_average_rank","f500_total_companies","f500_total_employees","f500_total_revenue","f500_total_profit","total_venues","total_superbowls"
163,"Roanoke","VA",315251,308707,"0.0212","Virginia","37.2785","-79.958",NULL,NULL,NULL,NULL,NULL,"1",292,57500,9568,"459.6",NULL,NULL
164,"Evansville","IN",314049,311552,"0.008","Indiana","37.9881","-87.5341",NULL,NULL,NULL,NULL,NULL,"1",413,21000,6489,"236",1,NULL
165,"Kingsport","TN",307614,309544,"-0.0062","Tennessee","36.5224","-82.5453",NULL,NULL,NULL,NULL,NULL,"1",309,14000,9008,"854",NULL,NULL
166,"Kennewick","WA",303622,253340,"0.1985","Washington","46.1978","-119.1732",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,"Olympia","WA",294793,252264,"0.1686","Washington","47.0417","-122.8959",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,"Hagerstown","MD",293844,269140,"0.0918","Maryland","39.6401","-77.7217",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,"Utica","NY",292264,299397,"-0.0238","New York","43.0961","-75.226",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,"Duluth","MN",291638,290637,"0.0034","Minnesota","46.7756","-92.1392",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,"Crestview","FL",286973,235865,"0.2167","Florida","30.748","-86.5784",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,"Longview","TX",286184,280000,"0.0221","Texas","32.5193","-94.7621",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,"Wilmington","NC",285905,254884,"0.1217","North Carolina","34.21","-77.8866",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
174,"San Luis Obispo","CA",282424,269637,"0.0474","California","35.2669","-120.6691",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
175,"Merced","CA",281202,255793,"0.0993","California","37.3057","-120.4778",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,"Waco","TX",277547,252772,"0.098","Texas","31.5598","-97.1881",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
177,"Sioux Falls","SD",276730,228261,"0.2123","South Dakota","43.5397","-96.732",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,"Cedar Rapids","IA",276520,257940,"0.072","Iowa","41.9665","-91.6782",NULL,NULL,NULL,NULL,NULL,"1",492,19000,5259,"728",NULL,NULL
179,"Bremerton","WA",275611,251133,"0.0975","Washington","47.5436","-122.7122",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,"Atlantic City","NJ",274534,274549,"-0.0001","New Jersey","39.3797","-74.4527",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,"Erie","PA",270876,280566,"-0.0345","Pennsylvania","42.1168","-80.0733",NULL,NULL,NULL,NULL,NULL,"1",382,4988,7016,"741.9",NULL,NULL
182,"Santa Cruz","CA",270861,262382,"0.0323","California","36.9789","-122.0346",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,"Amarillo","TX",268761,251933,"0.0668","Texas","35.1988","-101.8311",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,"Tuscaloosa","AL",268674,239207,"0.1232","Alabama","33.2348","-87.5267",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
185,"Norwich","CT",268555,274055,"-0.0201","Connecticut","41.5495","-72.0882",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,"College Station","TX",268248,228660,"0.1731","Texas","30.5852","-96.296",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
187,"Laredo","TX",267114,250304,"0.0672","Texas","27.5629","-99.4875",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
188,"Kalamazoo","MI",261670,250331,"0.0453","Michigan","42.2749","-85.5882",NULL,NULL,NULL,NULL,NULL,"1",252,33000,11325,"1647",2,NULL
189,"Lynchburg","VA",261593,252634,"0.0355","Virginia","37.4003","-79.1909",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
190,"Charleston","WV",258859,278009,"-0.0689","West Virginia","38.3484","-81.6323",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,"Yakima","WA",256728,243231,"0.0555","Washington","46.5923","-120.5496",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,"Fargo","ND",249843,208777,"0.1967","North Dakota","46.8652","-96.8292",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
193,"Binghamton","NY",247138,251725,"-0.0182","New York","42.1014","-75.9093",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
194,"Fort Smith","AR",244310,248208,"-0.0157","Arkansas","35.3493","-94.3695",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,"Appleton","WI",243147,225666,"0.0775","Wisconsin","44.2779","-88.3891",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,"Prescott Valley","AZ",236209,211033,"0.1193","Arizona","34.5983","-112.3176",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,"Macon","GA",233802,232293,"0.0065","Georgia","32.8065","-83.6974",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
198,"Tyler","TX",233479,209714,"0.1133","Texas","32.3184","-95.3062",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,"Topeka","KS",233152,233870,"-0.0031","Kansas","39.0346","-95.6955",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,"Daphne","AL",231767,182265,"0.2716","Alabama","30.6286","-87.8866",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,"Barnstable Town","MA",228996,215888,"0.0607",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,"Bellingham","WA",226847,201140,"0.1278","Washington","48.7543","-122.4687",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,"Rochester","MN",226329,206877,"0.094","Minnesota","44.0151","-92.4778",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,"Burlington","VT",225562,211261,"0.0677","Vermont","44.4877","-73.2314",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
205,"Lafayette","IN",223716,210297,"0.0638","Indiana","40.399","-86.8594",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,"Medford","OR",223259,203206,"0.0987","Oregon","42.3372","-122.8537",NULL,NULL,NULL,NULL,NULL,"1",318,11170,8678,"197.1",NULL,NULL
207,"Champaign","IL",222538,217810,"0.0217","Illinois","40.1144","-88.2735",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
208,"Lake Charles","LA",222402,199607,"0.1142","Louisiana","30.2012","-93.2122",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
209,"Charlottesville","VA",221524,201559,"0.0991","Virginia","38.0375","-78.4855",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,"Las Cruces","NM",219561,209233,"0.0494","New Mexico","32.3265","-106.7892",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
211,"Hilton Head Island","SC",215908,187010,"0.1545","South Carolina","32.1896","-80.7499",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
212,"Athens","GA",215415,192541,"0.1188","Georgia","33.9508","-83.3689",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
213,"Lake Havasu City","AZ",213267,200186,"0.0653","Arizona","34.5006","-114.3113",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,"Chico","CA",211632,220000,"-0.038","California","39.7575","-121.8152",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,"Columbia","MO",210864,190387,"0.1076","Missouri","38.9478","-92.3256",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
216,"Springfield","IL",208640,210170,"-0.0073","Illinois","39.771","-89.6538",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,"Johnson City","TN",207285,198716,"0.0431","Tennessee","36.3406","-82.3803",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
218,"Houma","LA",207137,208178,"-0.005","Louisiana","29.5799","-90.7058",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,"Monroe","LA",207104,204420,"0.0131","Louisiana","32.5183","-92.0774",NULL,NULL,NULL,NULL,NULL,"1",160,40000,17470,"626",2,NULL
220,"Elkhart","IN",207047,197559,"0.048","Indiana","41.6916","-85.9628",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,"Jacksonville","NC",204576,177772,"0.1508","North Carolina","34.7288","-77.3941",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,"Yuma","AZ",203881,195751,"0.0415","Arizona","32.5992","-114.5488",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,"Gainesville","GA",203136,179684,"0.1305","Georgia","34.2903","-83.8301",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,"Florence","SC",199964,205566,"-0.0273","South Carolina","34.1781","-79.7877",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,"St. Cloud","MN",199671,189093,"0.0559","Minnesota","45.5339","-94.1718",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,"Bend","OR",198253,157733,"0.2569","Oregon","44.0562","-121.3087",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,"Racine","WI",197727,195408,"0.0119","Wisconsin","42.7274","-87.8135",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,"Warner Robins","GA",191614,167595,"0.1433","Georgia","32.597","-83.6529",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,"Saginaw","MI",190124,200169,"-0.0502","Michigan","43.4199","-83.9501",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,"Punta Gorda","FL",186847,159978,"0.168","Florida","26.8933","-82.0516",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,"Terre Haute","IN",185031,189764,"-0.0249","Indiana","39.4654","-87.3763",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
232,"Billings","MT",184167,167167,"0.1017","Montana","45.7891","-108.5524",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,"Redding","CA",182155,177223,"0.0278","California","40.5698","-122.365",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,"Dover","DE",181851,162310,"0.1204","Delaware","39.161","-75.5203",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
234,"Kingston","NY",181851,182493,"-0.0035","New York","41.9295","-73.9968",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,"Joplin","MO",181409,175518,"0.0336","Missouri","37.0758","-94.5018",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,"Yuba City","CA",181208,166892,"0.0858","California","39.1357","-121.6381",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,"Jackson","TN",180504,179694,"0.0045","Tennessee","35.6535","-88.8353",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,"St. George","UT",180279,138115,"0.3053","Utah","37.077","-113.577",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,"El Centro","CA",179702,174528,"0.0296","California","32.7867","-115.5586",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,"Bowling Green","KY",179639,158599,"0.1327","Kentucky","36.9719","-86.4373",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
242,"Abilene","TX",176579,165252,"0.0685","Texas","32.4543","-99.7384",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
243,"Muskegon","MI",175824,172188,"0.0211","Michigan","43.2281","-86.2563",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,"Iowa City","IA",175419,152586,"0.1496","Iowa","41.6559","-91.5303",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
245,"Midland","TX",175220,141671,"0.2368","Texas","32.0249","-102.1137",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,"Panama City","FL",175216,168852,"0.0377","Florida","30.1995","-85.6004",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,"Auburn","AL",174241,140247,"0.2424","Alabama","32.6087","-85.4899",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
248,"Hattiesburg","MS",172231,162410,"0.0605","Mississippi","31.3074","-89.317",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
249,"Eau Claire","WI",172007,161151,"0.0674","Wisconsin","44.8199","-91.4949",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,"Oshkosh","WI",171730,166994,"0.0284","Wisconsin","44.0228","-88.5619",NULL,NULL,NULL,NULL,NULL,"1",425,13800,6279,"216.4",NULL,NULL
251,"Burlington","NC",171415,151131,"0.1342","North Carolina","36.0758","-79.4686",NULL,NULL,NULL,NULL,NULL,"1",290,52000,9642,"732.1",NULL,NULL
252,"Coeur d-Alene","ID",171362,138494,"0.2373",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,"Bloomington","IL",170954,169572,"0.0081","Illinois","40.4757","-88.9703",NULL,NULL,NULL,NULL,NULL,"1",33,68234,76132,"350.3",NULL,NULL
254,"Greenville","NC",170243,168148,"0.0125","North Carolina","35.5956","-77.3768",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
255,"Waterloo","IA",168461,167819,"0.0038","Iowa","42.492","-92.3522",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,"East Stroudsburg","PA",168327,169842,"-0.0089","Pennsylvania","41.0023","-75.1779",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,"Pueblo","CO",168162,159063,"0.0572","Colorado","38.2705","-104.6112",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,"Wausau","WI",166428,162806,"0.0222","Wisconsin","44.962","-89.6459",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,"Blacksburg","VA",166378,162958,"0.021","Virginia","37.23","-80.4279",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
260,"Odessa","TX",165171,137130,"0.2045","Texas","31.8831","-102.3406",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,"Kahului","HI",164754,154834,"0.0641","Hawaii","20.8715","-156.4603",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,"Janesville","WI",163687,160331,"0.0209","Wisconsin","42.6855","-89.0136",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
263,"Bloomington","IN",161039,159549,"0.0093","Indiana","39.1637","-86.5257",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
264,"Jackson","MI",160366,160248,"0.0007","Michigan","42.2431","-84.4037",NULL,NULL,NULL,NULL,NULL,"1",419,7750,6399,"551",NULL,NULL
265,"Sebastian","FL",159788,138028,"0.1576","Florida","27.7882","-80.4813",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,"State College","PA",158172,153990,"0.0272","Pennsylvania","40.7909","-77.8568",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
267,"Idaho Falls","ID",157429,133265,"0.1813","Idaho","43.4872","-112.0362",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,"Decatur","AL",156494,153829,"0.0173","Alabama","34.573","-86.9906",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,"Madera","CA",156255,150865,"0.0357","California","36.9631","-120.0782",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,"Chambersburg","PA",155932,149618,"0.0422","Pennsylvania","39.9315","-77.6556",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,"Grand Junction","CO",155703,146723,"0.0612","Colorado","39.0876","-108.5673",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,"Elizabethtown","KY",155572,148338,"0.0488","Kentucky","37.703","-85.877",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,"Santa Fe","NM",154823,144170,"0.0739","New Mexico","35.6619","-105.9819",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,"Monroe","MI",154809,152021,"0.0183","Michigan","41.9154","-83.385",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,"Niles","MI",154316,156813,"-0.0159","Michigan","41.8346","-86.2473",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,"Vineland","NJ",154152,156898,"-0.0175","New Jersey","39.4653","-74.9981",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,"Homosassa Springs","FL",153843,141236,"0.0893","Florida","28.8118","-82.5392",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,"Hanford","CA",152486,152982,"-0.0032","California","36.3274","-119.6549",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,"Bangor","ME",152199,153923,"-0.0112","Maine","44.8322","-68.7906",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
280,"Alexandria","LA",152192,153922,"-0.0112","Louisiana","31.2923","-92.4702",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,"Dothan","AL",151007,145639,"0.0369","Alabama","31.2335","-85.4069",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,"Florence","AL",150791,147137,"0.0248","Alabama","34.8303","-87.6654",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
283,"Jefferson City","MO",150309,149807,"0.0034","Missouri","38.5676","-92.1759",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,"Sioux City","IA",149940,143577,"0.0443","Iowa","42.4959","-96.3901",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,"Albany","GA",148922,153857,"-0.0321","Georgia","31.5776","-84.1762",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,"Wichita Falls","TX",148128,151306,"-0.021","Texas","33.9072","-98.5291",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,"Valdosta","GA",148126,139588,"0.0612","Georgia","30.8502","-83.2788",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,"Texarkana","TX",147519,149198,"-0.0113","Texas","33.4487","-94.0815",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,"Logan","UT",147348,125442,"0.1746","Utah","41.74","-111.8419",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
290,"Flagstaff","AZ",145101,134421,"0.0795","Arizona","35.1872","-111.6195",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
291,"Rocky Mount","NC",143870,152392,"-0.0559","North Carolina","35.9676","-77.8048",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,"Lebanon","PA",143257,133568,"0.0725","Pennsylvania","40.3412","-76.4227",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,"Dalton","GA",142837,142227,"0.0043","Georgia","34.769","-84.9712",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,"Morristown","TN",142709,136608,"0.0447","Tennessee","36.2046","-83.3006",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
295,"Winchester","VA",142632,128472,"0.1102","Virginia","39.1735","-78.1746",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
296,"Morgantown","WV",140038,129709,"0.0796","West Virginia","39.638","-79.9468",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
297,"La Crosse","WI",139627,133665,"0.0446","Wisconsin","43.824","-91.2268",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,"Wheeling","WV",139513,147950,"-0.057","West Virginia","40.0752","-80.6951",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,"Rapid City","SD",139074,126382,"0.1004","South Dakota","44.0716","-103.2204",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,"Napa","CA",138019,136484,"0.0112","California","38.2976","-122.3011",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
301,"Sumter","SC",136700,142427,"-0.0402","South Carolina","33.9392","-80.393",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
302,"Springfield","OH",136001,138333,"-0.0169","Ohio","39.9297","-83.7957",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,"Harrisonburg","VA",135571,125228,"0.0826","Virginia","38.4361","-78.8735",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
304,"Sherman","TX",135543,120877,"0.1213","Texas","33.6274","-96.6218",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
305,"Battle Creek","MI",134310,136146,"-0.0135","Michigan","42.2986","-85.2296",NULL,NULL,NULL,NULL,NULL,"1",216,37369,13014,"694",NULL,NULL
306,"Jonesboro","AR",134196,121026,"0.1088","Arkansas","35.8212","-90.6791",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
307,"Manhattan","KS",134046,127081,"0.0548","Kansas","39.1886","-96.6046",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
308,"Bismarck","ND",133626,110625,"0.2079","North Dakota","46.8144","-100.7694",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
309,"Johnstown","PA",133472,143679,"-0.071","Pennsylvania","40.3258","-78.9193",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
310,"Carbondale","IL",133435,139157,"-0.0411","Illinois","37.7221","-89.2238",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
311,"Hammond","LA",133157,121097,"0.0996","Louisiana","30.5061","-90.4563",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
312,"The Villages","FL",129752,93420,"0.3889","Florida","28.9021","-81.9888",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
313,"Mount Vernon","WA",129523,116901,"0.108","Washington","48.4202","-122.3115",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
314,"Pittsfield","MA",129026,131219,"-0.0167","Massachusetts","42.4517","-73.2605",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,"Albany","OR",128610,116672,"0.1023","Oregon","44.6274","-123.0966",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,"Glens Falls","NY",127039,128923,"-0.0146","New York","43.3109","-73.6459",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,"Lawton","OK",126652,130291,"-0.0279","Oklahoma","34.6176","-98.4203",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,"Cleveland","TN",126164,115788,"0.0896","Tennessee","35.1817","-84.8707",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
319,"Sierra Vista","AZ",125447,131346,"-0.0449","Arizona","31.563","-110.3153",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
320,"Staunton","VA",125433,118502,"0.0585","Virginia","38.1593","-79.0611",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
321,"Ames","IA",125252,115848,"0.0812","Iowa","42.0259","-93.6215",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
